type1_단어,type1_빈도수,type1_확률,type2_단어,type2_빈도수,type2_확률
고객,2024,1.4048,본인,4008,1.8016
지금,1178,1.2356,지금,3218,1.6436
저희,1158,1.2316,이제,2040,1.408
이제,963,1.1926,저희,1963,1.3926
대출,587,1.1174,통장,1837,1.3674
진행,442,1.0884,계좌,1430,1.286
처리,431,1.0862,부분,1385,1.277
전화,401,1.0802,사건,1372,1.2744
네네,396,1.0792,말씀,1100,1.22
부분,394,1.0788,확인,1069,1.2138
일단,367,1.0734,사용,985,1.197
자금,350,1.07,때문,961,1.1922
때문,345,1.069,은행,958,1.1916
확인,327,1.0654,일단,948,1.1896
상환,323,1.0646,조사,923,1.1846
말씀,319,1.0638,네네,851,1.1702
그러면,309,1.0618,피해자,827,1.1654
이렇게,306,1.0612,대해,823,1.1646
은행,284,1.0568,금융,808,1.1616
그래서,261,1.0522,명의,779,1.1558
그거,246,1.0492,혹시,733,1.1466
카드,235,1.047,개설,667,1.1334
바로,225,1.045,진행,649,1.1298
계좌,225,1.045,농협,620,1.124
다시,218,1.0436,전화,569,1.1138
근데,213,1.0426,수사,563,1.1126
연락,213,1.0426,피해,560,1.112
정도,210,1.042,연락,540,1.108
드릴,205,1.041,현재,516,1.1032
그렇게,192,1.0384,번호,514,1.1028
통장,185,1.037,불법,510,1.102
금액,177,1.0354,하나,510,1.102
그냥,177,1.0354,이렇게,509,1.1018
얘기,176,1.0352,그러면,499,1.0998
번호,174,1.0348,사람,486,1.0972
금융,172,1.0344,전혀,482,1.0964
한번,171,1.0342,진술,479,1.0958
사용,164,1.0328,경우,476,1.0952
혹시,163,1.0326,정도,473,1.0946
납부,160,1.032,카드,468,1.0936
금리,160,1.032,거래,454,1.0908
거기,157,1.0314,근데,442,1.0884
그러니까,155,1.031,내용,439,1.0878
경우,151,1.0302,처리,424,1.0848
오늘,150,1.03,자금,416,1.0832
전산,149,1.0298,녹취,401,1.0802
서류,149,1.0298,다른,400,1.08
주시,148,1.0296,선생님,390,1.078
접수,147,1.0294,개인,385,1.077
시간,147,1.0294,직접,383,1.0766
본인,147,1.0294,가지,376,1.0752
한도,146,1.0292,드릴,373,1.0746
그게,140,1.028,그러니까,372,1.0744
통화,139,1.0278,발견,362,1.0724
담당자,133,1.0266,잠시,360,1.072
잠시,131,1.0262,유출,358,1.0716
다른,131,1.0262,고요,350,1.07
입금,129,1.0258,정보,349,1.0698
만약,128,1.0256,그래서,348,1.0696
가지,125,1.025,사실,346,1.0692
러시,124,1.0248,다시,341,1.0682
발급,124,1.0248,그냥,333,1.0666
대해,121,1.0242,이해,326,1.0652
심사,121,1.0242,그거,317,1.0634
출금,121,1.0242,통화,307,1.0614
이용,121,1.0242,금융감독원,305,1.061
먼저,118,1.0236,국민은행,298,1.0596
승인,115,1.023,직원,298,1.0596
신용,115,1.023,얘기,296,1.0592
상품,113,1.0226,사관,296,1.0592
농협,112,1.0224,인터넷,292,1.0584
프로,111,1.0222,검거,288,1.0576
하나,109,1.0218,입증,288,1.0576
어디,105,1.021,우선,284,1.0568
사람,103,1.0206,어디,277,1.0554
보증,102,1.0204,보안,277,1.0554
우리,101,1.0202,조회,274,1.0548
직원,100,1.02,만약,264,1.0528
캐피탈,97,1.0194,금액,263,1.0526
신청,96,1.0192,범죄,262,1.0524
방법,95,1.019,주시,262,1.0524
생각,95,1.019,동결,262,1.0524
거래,95,1.019,상태,261,1.0522
개월,94,1.0188,보시,260,1.052
고요,92,1.0184,그렇게,258,1.0516
직접,90,1.018,추적,252,1.0504
많이,89,1.0178,이번,252,1.0504
설명,88,1.0176,도용,250,1.05
상황,86,1.0172,입출금,247,1.0494
내일,86,1.0172,하나은행,241,1.0482
문제,85,1.017,연루,238,1.0476
요청,83,1.0166,현장,237,1.0474
얼마,83,1.0166,검사,234,1.0468
개인,83,1.0166,상황,233,1.0466
이자,83,1.0166,압수,227,1.0454
조금,83,1.0166,거기,225,1.045
수가,81,1.0162,시간,223,1.0446
어차피,80,1.016,대포통장,221,1.0442
관리,79,1.0158,바로,220,1.044
안내,78,1.0156,여기,218,1.0436
가요,78,1.0156,이용,218,1.0436
저축은행,78,1.0156,한번,214,1.0428
여기,78,1.0156,수가,213,1.0426
보시,77,1.0154,자료,211,1.0422
마이너스,76,1.0152,과정,209,1.0418
지점,75,1.015,설명,208,1.0416
대리,75,1.015,많이,206,1.0412
비용,74,1.0148,적금,204,1.0408
다음,72,1.0144,오늘,201,1.0402
이상,70,1.014,서울,200,1.04
어느,69,1.0138,가요,198,1.0396
국민은행,68,1.0136,신한은행,191,1.0382
연체,67,1.0134,뱅킹,190,1.038
회사,66,1.0132,은행권,188,1.0376
건가,66,1.0132,아시,188,1.0376
자체,65,1.013,판매,184,1.0368
이해,64,1.0128,발생,181,1.0362
기간,63,1.0126,질문,180,1.036
신고,62,1.0124,신용카드,177,1.0354
처음,62,1.0124,증거,176,1.0352
업무,61,1.0122,얼마,176,1.0352
완납,61,1.0122,대출,173,1.0346
공증,61,1.0122,러시,171,1.0342
상담,60,1.012,중앙,168,1.0336
평점,60,1.012,그게,168,1.0336
너무,59,1.0118,무슨,166,1.0332
송금,59,1.0118,통해,165,1.033
필요,58,1.0116,사기,164,1.0328
수도,58,1.0116,신고,161,1.0322
군데,58,1.0116,메모,160,1.032
방문,58,1.0116,어느,160,1.032
이체,57,1.0114,지점,159,1.0318
따로,57,1.0114,조치,158,1.0316
이름,57,1.0114,잠깐,156,1.0312
지원,56,1.0112,이기,155,1.031
우선,55,1.011,개인정보,154,1.0308
잠깐,55,1.011,위해,152,1.0304
그때,55,1.011,신분증,149,1.0298
발생,55,1.011,검찰청,149,1.0298
명의,54,1.0108,이름,145,1.029
계속,53,1.0106,정지,143,1.0286
없이,53,1.0106,자체,143,1.0286
취소,53,1.0106,보호,142,1.0284
정보,53,1.0106,전부,142,1.0284
현재,53,1.0106,계속,141,1.0282
성함,52,1.0104,우리은행,140,1.028
환급,51,1.0102,등록,140,1.028
현금,51,1.0102,신청,137,1.0274
조건,51,1.0102,일당,136,1.0272
거구,51,1.0102,혐의,135,1.027
추가,51,1.0102,다음,134,1.0268
결제,50,1.01,검찰,132,1.0264
설정,50,1.01,발급,132,1.0264
정부,50,1.01,수도,131,1.0262
그다음,49,1.0098,자산,131,1.0262
오전,49,1.0098,최근,131,1.0262
사장,49,1.0098,해당,129,1.0258
결과,48,1.0096,예금,127,1.0254
무슨,48,1.0096,연결,127,1.0254
통해,48,1.0096,이유,127,1.0254
영업,47,1.0094,사이트,126,1.0252
입장,47,1.0094,대한,126,1.0252
건데,47,1.0094,협조,126,1.0252
언제,47,1.0094,그다음,126,1.0252
수수료,47,1.0094,보신,124,1.0248
기존,46,1.0092,보험,124,1.0248
주신,46,1.0092,양도,123,1.0246
하루,45,1.009,부산,123,1.0246
빨리,45,1.009,지급,122,1.0244
아줌마,45,1.009,이상,121,1.0242
부결,44,1.0088,방문,121,1.0242
그걸,44,1.0088,조금,120,1.024
위해,44,1.0088,신분,120,1.024
정리,43,1.0086,왜냐하면,119,1.0238
그것,43,1.0086,먼저,118,1.0236
보고,43,1.0086,사항,116,1.0232
내용,43,1.0086,기재,116,1.0232
달라,43,1.0086,문제,116,1.0232
대로,43,1.0086,모든,114,1.0228
계약,43,1.0086,담당,114,1.0228
이세,42,1.0084,아직,111,1.0222
사항,42,1.0084,화면,110,1.022
그건,42,1.0084,이동,110,1.022
이기,42,1.0084,용도,108,1.0216
업체,42,1.0084,안전,108,1.0216
채권,42,1.0084,사이,107,1.0214
원금,41,1.0082,같이,106,1.0212
원래,41,1.0082,성함,106,1.0212
도움,41,1.0082,동의,106,1.0212
동안,41,1.0082,남성,106,1.0212
정상,41,1.0082,국민,105,1.021
최대,41,1.0082,처음,105,1.021
우체국,40,1.008,그때,105,1.021
보험,39,1.0078,추가,104,1.0208
아마,39,1.0078,계시,104,1.0208
나중,39,1.0078,생각,104,1.0208
공문,39,1.0078,소환장,103,1.0206
인터넷,39,1.0078,재산,103,1.0206
천만,38,1.0076,입금,101,1.0202
기록,38,1.0076,분실,99,1.0198
배정,38,1.0076,너무,99,1.0198
본사,38,1.0076,접속,99,1.0198
수령,38,1.0076,휴대폰,99,1.0198
과장,38,1.0076,금전,99,1.0198
부서,38,1.0076,비밀번호,98,1.0196
중도,38,1.0076,관련,97,1.0194
대한,37,1.0074,따로,96,1.0192
계약서,37,1.0074,공문,94,1.0188
채무,37,1.0074,언제,94,1.0188
당일,36,1.0072,서류,94,1.0188
핸드폰,36,1.0072,입력,93,1.0186
조회,36,1.0072,절차,92,1.0184
전달,36,1.0072,접수,92,1.0184
근무,36,1.0072,보고,91,1.0182
방식,36,1.0072,경찰청,91,1.0182
걱정,35,1.007,핸드폰,90,1.018
이번,35,1.007,고소,89,1.0178
최대한,35,1.007,청약,89,1.0178
변제,35,1.007,클릭,89,1.0178
한국,34,1.0068,가해자,88,1.0176
지급,34,1.0068,경기도,86,1.0172
카톡,34,1.0068,미만,86,1.0172
월요일,34,1.0068,범죄수사,86,1.0172
전혀,34,1.0068,출신,85,1.017
왜냐하면,34,1.0068,아마,85,1.017
얼마나,34,1.0068,기억,85,1.017
작업,33,1.0066,기록,84,1.0168
문자,33,1.0066,날짜,83,1.0166
전화번호,33,1.0066,결과,83,1.0166
사실,33,1.0066,기단,83,1.0166
같이,33,1.0066,지방,82,1.0164
최종,32,1.0064,필요,81,1.0162
거지,32,1.0064,대략,81,1.0162
등록,32,1.0064,또는,81,1.0162
강제,32,1.0064,방법,80,1.016
중이,32,1.0064,첨단,80,1.016
자산,32,1.0064,직장,80,1.016
완료,31,1.0062,동안,80,1.016
국민,31,1.0062,판단,79,1.0158
소득,31,1.0062,거구,79,1.0158
저기,31,1.0062,거나,79,1.0158
동의,31,1.0062,또한,78,1.0156
등급,30,1.006,고객,77,1.0154
공사,30,1.006,그것,77,1.0154
사과,30,1.006,이하,77,1.0154
해당,30,1.006,건데,77,1.0154
일부,30,1.006,국가,76,1.0152
신용카드,29,1.0058,이세,76,1.0152
용도,29,1.0058,자택,76,1.0152
나가시,29,1.0058,코드,76,1.0152
생활,29,1.0058,저기,76,1.0152
서울,29,1.0058,인지,75,1.015
경찰서,29,1.0058,해지,75,1.015
진짜,29,1.0058,도박,74,1.0148
법무,29,1.0058,근무,74,1.0148
뱅킹,29,1.0058,건가,74,1.0148
현대,29,1.0058,대량,74,1.0148
상태,28,1.0056,누구,73,1.0146
절차,28,1.0056,아예,73,1.0146
요즘,28,1.0056,현금,72,1.0144
상담사,28,1.0056,업무,72,1.0144
준비,28,1.0056,모두,71,1.0142
자동,28,1.0056,모바일,71,1.0142
부채,27,1.0054,유선,70,1.014
증명서,27,1.0054,문자,70,1.014
능력,27,1.0054,인증서,70,1.014
평가,27,1.0054,이체,69,1.0138
해주시,27,1.0054,증권,69,1.0138
센터,27,1.0054,전달,69,1.0138
발송,26,1.0052,마지막,69,1.0138
이요,26,1.0052,거의,68,1.0136
작성,26,1.0052,안건,68,1.0136
부담,26,1.0052,요즘,68,1.0136
나머지,26,1.0052,포함,68,1.0136
직장,26,1.0052,일반,68,1.0136
미리,26,1.0052,인증,67,1.0134
사업,26,1.0052,공인,67,1.0134
서민,26,1.0052,우리,67,1.0134
어머님,26,1.0052,빨리,67,1.0134
변동,26,1.0052,물건,66,1.0132
롯데,26,1.0052,세탁,66,1.0132
일반,25,1.005,그걸,66,1.0132
금감원,25,1.005,입장,66,1.0132
계시,25,1.005,해주시,66,1.0132
중간,25,1.005,걱정,65,1.013
대안,25,1.005,집행,65,1.013
어제,25,1.005,주소,65,1.013
이미,25,1.005,범죄자,64,1.0128
우리은행,25,1.005,그건,63,1.0126
지역,25,1.005,라면,63,1.0126
융통,24,1.0048,잔액,63,1.0126
휴대폰,24,1.0048,고발,62,1.0124
약속,24,1.0048,소환,62,1.0124
법인,24,1.0048,원래,62,1.0124
재발,24,1.0048,당시,61,1.0122
약간,24,1.0048,출석,60,1.012
변호사,23,1.0046,법적,60,1.012
무조건,23,1.0046,가족,60,1.012
삭제,23,1.0046,당사자,60,1.012
보통,23,1.0046,정상,60,1.012
세금,23,1.0046,주민,59,1.0118
이유,23,1.0046,이미,59,1.0118
해도,23,1.0046,계산,59,1.0118
마무리,23,1.0046,나중,58,1.0116
왜냐면,23,1.0046,없이,58,1.0116
이후,23,1.0046,주신,58,1.0116
해결,23,1.0046,신청서,58,1.0116
코드,22,1.0044,발부,57,1.0114
녹취,22,1.0044,마이너스,57,1.0114
사무실,22,1.0044,합법,57,1.0114
아무,22,1.0044,금감원,57,1.0114
신규,22,1.0044,신지,57,1.0114
인증,22,1.0044,광명시,56,1.0112
제일,22,1.0044,한도,56,1.0112
거나,21,1.0042,민원,56,1.0112
아무래도,21,1.0042,음성,56,1.0112
선생님,21,1.0042,제출,56,1.0112
아시,21,1.0042,개월,56,1.0112
시구,21,1.0042,타인,56,1.0112
그래도,21,1.0042,설정,55,1.011
주민,21,1.0042,보이시,55,1.011
그대로,21,1.0042,내일,55,1.011
전부,21,1.0042,중이,54,1.0108
장님,21,1.0042,각각,54,1.0108
어쨌든,20,1.004,홈페이지,54,1.0108
수납,20,1.004,대가,54,1.0108
부탁,20,1.004,네이버,53,1.0106
보안,20,1.004,로그인,53,1.0106
햇살,20,1.004,자리,53,1.0106
체크카드,20,1.004,기업은행,53,1.0106
어머니,20,1.004,센터,53,1.0106
상관,20,1.004,어차피,53,1.0106
서비스,20,1.004,제일,52,1.0104
편법,20,1.004,시기,52,1.0104
거세,20,1.004,처벌,52,1.0104
대신,19,1.0038,증명,52,1.0104
설치,19,1.0038,무고,51,1.0102
불법,19,1.0038,부모님,51,1.0102
실적,19,1.0038,제외,51,1.0102
소요,19,1.0038,복구,51,1.0102
메모,19,1.0038,회사,51,1.0102
담당,19,1.0038,여부,51,1.0102
담보,19,1.0038,따라서,50,1.01
이력,19,1.0038,진짜,50,1.01
예치,19,1.0038,보상,50,1.01
만기,19,1.0038,마무리,50,1.01
통합,19,1.0038,천만,50,1.01
법적,19,1.0038,작년,50,1.01
가시,19,1.0038,거주,50,1.01
회수,19,1.0038,경찰,50,1.01
연합,19,1.0038,당한,49,1.0098
투자,19,1.0038,이요,49,1.0098
잘못,19,1.0038,기간,49,1.0098
보이스피싱,18,1.0036,버튼,49,1.0098
중개,18,1.0036,종결,49,1.0098
자리,18,1.0036,전국,49,1.0098
관계,18,1.0036,작성,48,1.0096
번만,18,1.0036,피의자,48,1.0096
기본,18,1.0036,사례,48,1.0096
대표,18,1.0036,정말,48,1.0096
오래,18,1.0036,시오,48,1.0096
가입,18,1.0036,신한,47,1.0094
금요일,18,1.0036,대신,47,1.0094
이동,18,1.0036,분도,47,1.0094
영수증,18,1.0036,백만,47,1.0094
적용,18,1.0036,전반,47,1.0094
신한은행,17,1.0034,주변,47,1.0094
관련,17,1.0034,이십,47,1.0094
가장,17,1.0034,오시,47,1.0094
나이,17,1.0034,분류,47,1.0094
이구,17,1.0034,적도,46,1.0092
카카오,17,1.0034,전화번호,46,1.0092
판단,17,1.0034,실명,46,1.0092
상향,17,1.0034,중인,46,1.0092
인증서,17,1.0034,준비,46,1.0092
날짜,17,1.0034,목소리,45,1.009
자료,17,1.0034,지난,45,1.009
위임,17,1.0034,나머지,45,1.009
개설,17,1.0034,행사,45,1.009
일주일,17,1.0034,출금,45,1.009
여섯,17,1.0034,지역,45,1.009
연결,17,1.0034,장님,45,1.009
되게,17,1.0034,거짓,44,1.0088
오후,17,1.0034,거지,44,1.0088
기금,17,1.0034,취하,44,1.0088
가상,17,1.0034,기관,44,1.0088
전자,17,1.0034,지방검찰청,44,1.0088
계세,17,1.0034,가담,44,1.0088
피해,16,1.0032,이분,44,1.0088
자꾸,16,1.0032,일부,44,1.0088
하라,16,1.0032,경찰서,43,1.0086
환불,16,1.0032,고지,43,1.0086
삼백만,16,1.0032,열람,43,1.0086
사이,16,1.0032,오래,43,1.0086
본점,16,1.0032,물품,42,1.0084
초과,16,1.0032,광주,42,1.0084
입출금,16,1.0032,운영,42,1.0084
정말,16,1.0032,간주,42,1.0084
절대,16,1.0032,왜냐면,42,1.0084
매달,16,1.0032,스마트폰,42,1.0084
정책,16,1.0032,파일,42,1.0084
친구,16,1.0032,가입,42,1.0084
인지,16,1.0032,아이디,41,1.0082
백만,16,1.0032,은닉,41,1.0082
사기,16,1.0032,시작,41,1.0082
남아,15,1.003,서비스,41,1.0082
마지막,15,1.003,녹음,40,1.008
대기,15,1.003,원상,40,1.008
신용등급,15,1.003,재판,40,1.008
삼성,15,1.003,휴면,40,1.008
원만,15,1.003,크게,40,1.008
변경,15,1.003,대로,40,1.008
행복,15,1.003,주로,40,1.008
기업,15,1.003,감독,39,1.0078
또는,15,1.003,방해,39,1.0078
감사,15,1.003,특급,39,1.0078
엄마,15,1.003,법원,38,1.0076
검색,15,1.003,내사,38,1.0076
창고,15,1.003,우체국,38,1.0076
이건,15,1.003,소리,38,1.0076
상한,15,1.003,이구,38,1.0076
지인,15,1.003,여권,38,1.0076
주소,15,1.003,대조,38,1.0076
거주,15,1.003,니요,38,1.0076
남자,14,1.0028,업체,38,1.0076
주거,14,1.0028,얼마나,38,1.0076
일시,14,1.0028,참고,38,1.0076
아예,14,1.0028,공무,38,1.0076
물론,14,1.0028,가야,37,1.0074
과정,14,1.0028,요청,37,1.0074
이전,14,1.0028,보이스피싱,37,1.0074
최근,14,1.0028,과장,37,1.0074
이면,14,1.0028,앞서,37,1.0074
기업은행,14,1.0028,지인,37,1.0074
포장,14,1.0028,재발,36,1.0072
굳이,14,1.0028,중간,36,1.0072
이십,14,1.0028,연관,36,1.0072
해지,14,1.0028,종료,36,1.0072
포함,14,1.0028,어쨌든,36,1.0072
계산,14,1.0028,중고나라,36,1.0072
의심,14,1.0028,금일,36,1.0072
비밀번호,14,1.0028,파악,36,1.0072
크게,14,1.0028,형사,36,1.0072
생년,14,1.0028,그대로,36,1.0072
누구,14,1.0028,이후,35,1.007
아직,14,1.0028,답변,35,1.007
부산,14,1.0028,환수,35,1.007
삼천만,13,1.0026,친구,35,1.007
신한,13,1.0026,시티,35,1.007
팩스,13,1.0026,해도,35,1.007
거의,13,1.0026,최대한,35,1.007
다섯시,13,1.0026,체포,35,1.007
공문서,13,1.0026,선택,35,1.007
질문,13,1.0026,김태환,35,1.007
외환,13,1.0026,서도,35,1.007
등록증,13,1.0026,요구,35,1.007
분할,13,1.0026,예전,35,1.007
입력,13,1.0026,관계,35,1.007
자기,13,1.0026,가방,35,1.007
아이디,13,1.0026,지정,35,1.007
증액,13,1.0026,사무실,35,1.007
원리금,13,1.0026,대포,35,1.007
전액,12,1.0024,완료,34,1.0068
수원,12,1.0024,자유,34,1.0068
서도,12,1.0024,주의,34,1.0068
오시,12,1.0024,실질,34,1.0068
가면,12,1.0024,혼자,34,1.0068
출근,12,1.0024,주장,34,1.0068
사이트,12,1.0024,남아,34,1.0068
페퍼,12,1.0024,월급,34,1.0068
쓰시,12,1.0024,사인,34,1.0068
반영,12,1.0024,절대,34,1.0068
네이버,12,1.0024,범인,34,1.0068
마음,12,1.0024,마찬가지,34,1.0068
은행권,12,1.0024,계세,34,1.0068
금은,12,1.0024,아무래도,34,1.0068
모든,12,1.0024,카카오,34,1.0068
박스,12,1.0024,사진,33,1.0066
마찬가지,12,1.0024,영장,33,1.0066
만요,12,1.0024,추후,33,1.0066
경찰,12,1.0024,스마트,33,1.0066
퇴근,12,1.0024,대리,33,1.0066
데이터,12,1.0024,기계,33,1.0066
녹음,12,1.0024,오후,33,1.0066
사업자,12,1.0024,약식,33,1.0066
벌금,12,1.0024,강상호,33,1.0066
래서,11,1.0022,국고,33,1.0066
유출,11,1.0022,다섯,33,1.0066
유지,11,1.0022,처분,33,1.0066
갑자기,11,1.0022,하단,33,1.0066
아파트,11,1.0022,체크,33,1.0066
구매,11,1.0022,여러,33,1.0066
등기,11,1.0022,데이터,33,1.0066
오백만,11,1.0022,자주,33,1.0066
열람,11,1.0022,실제,33,1.0066
법무사,11,1.0022,압수수색,32,1.0064
역서,11,1.0022,지갑,32,1.0064
실질,11,1.0022,아무,32,1.0064
조사,11,1.0022,나이,32,1.0064
수정,11,1.0022,와이파이,32,1.0064
